"31","г. Костанай","«Строительство завода по производству автомобилей «KIA» на индустриальной зоне в г.Костанай» Костанайская область, город Костанай, проспект Н. Назарбаева, земельный участок кадастровый номер 12-193-042-646.  Здание завода.","01/08/2024","01/09/2024","01/09/2024","Цех окраски пластика. Срубка свай в осях  SX1/SY13-SY12 в количестве 7 шт.","12_Срубка свай_7_шт","Филиал АО «GAKYEONG Architects & Engineers Inc. в г. Астана»,  №0000-1-КЖ, Лист №4, Лист №11.1.","Не применялись","Отсутствуют","Ручная дорабокта грунта под фундаменты в цехе окраски пластика в осях  SX1/SY13-SY12.","Нет","Исполнительная схема по срубке свай в осях SX1-SY12-SY13. №РС-009"
"32","г. Костанай","«Строительство завода по производству автомобилей «KIA» на индустриальной зоне в г.Костанай» Костанайская область, город Костанай, проспект Н. Назарбаева, земельный участок кадастровый номер 12-193-042-646.  Здание завода.","12/07/2023","01/14/2024","01/14/2024","Цех окраски пластика. Срубка свай в осях SY17/SX1-SX2, SX1/SY17-SY16 в количестве 24 шт. ","12_Срубка свай_24_шт","Филиал АО «GAKYEONG Architects & Engineers Inc. в г. Астана»,  №0000-1-КЖ, Лист №4, Лист №11.1.","Не применялись","Отсутствуют","Ручная дорабокта грунта под фундаменты в цехе окраски пластика в осях SY17/SX1-SX2, SX1/SY17-S16.","Нет","Исполнительная схема по срубке свай в осях SY17-SX1-SX2, SX1-SY17-SY16. №РС-001"
"33","г. Костанай","«Строительство завода по производству автомобилей «KIA» на индустриальной зоне в г.Костанай» Костанайская область, город Костанай, проспект Н. Назарбаева, земельный участок кадастровый номер 12-193-042-646.  Здание завода.","01/13/2024","01/14/2024","01/14/2024","Цех окраски кузовов. Срубка свай в осях SY17-SY16/SX11-SX12 в количестве 23 шт.","12_Срубка свай_23_шт","Филиал АО «GAKYEONG Architects & Engineers Inc. в г. Астана», №0000-1-КЖ, Лист №5-6, Лист №11.1.","Не применялись","Отсутствуют","Ручная дорабокта грунта под фундаменты в цехе окраски кузовов в осях  SY17-SY16/SX11-SX12.","Нет","Исполнительная схема по срубке свай в осях SY17-SY16-SX11-SX12. №РС-019"
"34","г. Костанай","«Строительство завода по производству автомобилей «KIA» на индустриальной зоне в г.Костанай» Костанайская область, город Костанай, проспект Н. Назарбаева, земельный участок кадастровый номер 12-193-042-646.  Здание завода.","12/28/2023","01/06/2024","01/06/2024","Цех окраски кузовов. Срубка свай в осях SY16- SY17/SX16 - SX17 в количестве 23 шт.","12_Срубка свай_23_шт","Филиал АО «GAKYEONG Architects & Engineers Inc. в г. Астана», №0000-1-КЖ, Лист №5-6, Лист №11.1.","Не применялись","Отсутствуют","Ручная дорабокта грунта под фундаменты в цехе окраски кузовов в осях SY16- SY17/SX16 - SX17.","Нет","Исполнительная схема по срубке свай в осях SY17-SY16-SX16-SX17. №РС-024"
"35","г. Костанай","«Строительство завода по производству автомобилей «KIA» на индустриальной зоне в г.Костанай» Костанайская область, город Костанай, проспект Н. Назарбаева, земельный участок кадастровый номер 12-193-042-646.  Здание завода.","01/25/2024","01/30/2024","01/30/2024","Кузовной цех. Срубка свай в осях SX18/SY8-SY9 в количестве 17 шт.","12_Срубка свай_17_шт","Филиал АО «GAKYEONG Architects & Engineers Inc. в г. Астана», №0000-1-КЖ, Лист №9, 11, 11.1.","Не применялись","Отсутствуют","Ручная дорабокта грунта под фундаменты в кузовном цехе в осях SX18/SY8-SY9.","Нет","Исполнительная схема по срубке свай в осях SX18-SY8-SY9. №РС-047"
"36","г. Костанай","«Строительство завода по производству автомобилей «KIA» на индустриальной зоне в г.Костанай» Костанайская область, город Костанай, проспект Н. Назарбаева, земельный участок кадастровый номер 12-193-042-646.  Здание завода.","01/25/2024","02/01/2024","02/01/2024","Кузовной цех. Срубка свай в осях SX18/SY6-SY7 в количестве 14 шт.","12_Срубка свай_14_шт","Филиал АО «GAKYEONG Architects & Engineers Inc. в г. Астана», №0000-1-КЖ, Лист №9, 11, 11.1.","Не применялись","Отсутствуют","Ручная дорабокта грунта под фундаменты в кузовном цехе в осях SX18/SY6-SY7.","Нет","Исполнительная схема по срубке свай в осях SX18-SY6-SY7. №РС-049"
"37","г. Костанай","«Строительство завода по производству автомобилей «KIA» на индустриальной зоне в г.Костанай» Костанайская область, город Костанай, проспект Н. Назарбаева, земельный участок кадастровый номер 12-193-042-646.  Здание завода.","12/01/2023","12/04/2023","12/04/2023","Цех окраски кузовов. Ручная доработка грунта в осях SY15/SX7-SX12. Объём разработанного  грунта 19,04м3.","3_Ручная доработка грунта_19,04_м3","Филиал АО «GAKYEONG Architects & Engineers Inc. в г. Астана», №0000-1-КЖ, Лист №5-6.","Не применялись","Отсутствуют","Устройство основания под фундаменты в цехе окраски кузовов в осях SY15/SX7-SX12.","Нет","Исполнительная схема подготовки основания в осях SY15/SX7-SX12. №Е1-001"
"38","г. Костанай","«Строительство завода по производству автомобилей «KIA» на индустриальной зоне в г.Костанай» Костанайская область, город Костанай, проспект Н. Назарбаева, земельный участок кадастровый номер 12-193-042-646.  Здание завода.","12/03/2023","12/05/2023","12/05/2023","Цех окраски кузовов. Ручная доработка грунта в осях SY17/SX9-SX18. Объём разработанного грунта 1,18м3.","3_Ручная доработка грунта_1,18_м3; 13_Засыпка щебнем (перекоп)_0,71_м3","Филиал АО «GAKYEONG Architects & Engineers Inc. в г. Астана», №0000-1-КЖ, Лист №5-6.","Не применялись","Отсутствуют","Устройство основания под фундаменты в цехе окраски кузовов в осях SY17/SX9-SX18.","Нет","Исполнительная схема подготовки основания в осях SY17/SX9-SX10, SY17/SX10-SX11, SY17/SX12-SX13. №Е1-002; Исполнительная схема подготовки основания в осях SY17/SX13-1SX14, SY17/SX14-SX15, SY17/SX17-SX18. №Е1-003"
"39","г. Костанай","«Строительство завода по производству автомобилей «KIA» на индустриальной зоне в г.Костанай» Костанайская область, город Костанай, проспект Н. Назарбаева, земельный участок кадастровый номер 12-193-042-646.  Здание завода.","12/04/2023","12/06/2023","12/06/2023","Цех окраски кузовов. Ручная доработка грунта в осях SY17/SX11-SX18. Объём разработанного грунта 1,9м3.","3_Ручная доработка грунта_1,9_м3; 13_Засыпка щебнем (перекоп)_6,04_м4","Филиал АО «GAKYEONG Architects & Engineers Inc. в г. Астана», №0000-1-КЖ, Лист №5-6.","Не применялись","Отсутствуют","Устройство основания под фундаменты в цехе окраски кузовов в осях SY17/SX11-SX18.","Нет","Исполнительная схема подготовки основания в осях SY17/SX15-SX16, SY17/SX17-SX18. №СА-001; Исполнительная схема подготовки основания в осях SY17/SX11-SX17, SY17/SX18. №СА-002"
"40","г. Костанай","«Строительство завода по производству автомобилей «KIA» на индустриальной зоне в г.Костанай» Костанайская область, город Костанай, проспект Н. Назарбаева, земельный участок кадастровый номер 12-193-042-646.  Здание завода.","12/01/2023","12/04/2023","12/04/2023","Цех окраски кузовов. Ручная доработка грунта в осях SY14- SY17/SX18. Объём разработанного грунта 7,08м3.","3_Ручная доработка грунта_7,08_м3","Филиал АО «GAKYEONG Architects & Engineers Inc. в г. Астана», №0000-1-КЖ, Лист №5-6.","Не применялись","Отсутствуют","Устройство основания под фундаменты в цехе окраски кузовов в осях SY14- SY17/SX18.","Нет","Исполнительная схема подготовки основания в осях SY17-SY14/SX18. №СА-003"
